id,quality
23369572,4.21478618024
21797700,4.21478618024
21517172,6.15467226268
21482979,9.0782396088
21463917,9.0782396088
19664047,9.0782396088
19638281,7.331696958
17755707,7.331696958
17679301,7.331696958
17557801,9.52348993289
17325162,5.57245283019
17244111,7.331696958
16898218,6.25806451613
16655184,9.0782396088
16161932,6.46619035468
16081834,5.57245283019
15833859,6.15467226268
15792066,6.25806451613
15731304,8.34804226227
15715929,7.331696958
15691804,7.52834008097
15670741,8.96736516661
15658275,7.331696958
15654530,8.57927541878
15649708,6.15467226268
15645554,8.88759689922
15640167,6.15467226268
15629746,5.57245283019
15620386,4.21478618024
15575832,6.46619035468
15529227,9.0782396088
15527049,6.15467226268
15517259,8.57927541878
15488863,8.34804226227
15163279,7.331696958
14918579,6.46619035468
14744196,6.46619035468
14733902,7.331696958
14693274,8.34804226227
14270702,6.46619035468
13652653,5.57245283019
13444398,5.57245283019
13419168,7.331696958
13414800,9.52348993289
13401246,4.21478618024
13397259,7.331696958
13393345,7.331696958
13387311,8.96736516661
13384545,8.57927541878
13381480,8.57927541878
13369759,7.331696958
13354478,6.15467226268
12904762,6.46619035468
12820622,8.57927541878
12664175,7.331696958
12323791,9.0782396088
12125071,6.46619035468
12095316,9.0782396088
12090704,2.68406337372
12016794,6.46619035468
11877924,8.57927541878
11846705,7.331696958
11825881,6.15467226268
11804607,4.21478618024
11747118,4.21478618024
11745852,6.46619035468
11732160,5.57245283019
11722884,7.331696958
11698449,8.34804226227
11660667,8.57927541878
11607009,7.331696958
11577560,9.0782396088
10169193,9.0782396088
3975777,3.79956427015
3699288,7.331696958
3629025,7.331696958
3179665,7.331696958
3165736,7.331696958
3163379,2.68406337372
3146686,7.331696958
2995240,5.57245283019
2994361,7.331696958
2950731,6.46619035468
2923693,7.331696958
2806599,6.15467226268
2729491,7.331696958
2723286,9.0782396088
2715127,7.331696958
2366569,9.18307349666
2261825,8.96736516661
2097725,6.46619035468
2086384,7.331696958
1971628,9.0782396088
19855607,8.96736516661
19302623,6.46619035468
19147829,8.96736516661
18046968,9.0782396088
17954506,8.57927541878
17950445,6.25806451613
17905476,9.0782396088
17901580,8.96736516661
17722394,6.46619035468
17474313,8.96736516661
17418756,8.96736516661
16879982,7.331696958
16809938,6.25806451613
16795262,7.331696958
16388573,6.46619035468
15177123,6.46619035468
15160895,7.331696958
15037547,6.15467226268
14995353,6.46619035468
14563587,7.331696958
14241192,7.331696958
14131981,6.46619035468
14070474,6.46619035468
13968182,9.0782396088
13959545,6.46619035468
13934647,9.0782396088
13923635,6.46619035468
13908865,6.46619035468
13905314,7.331696958
13905306,9.0782396088
